t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
4780394646272,11.319176,1788966319367110749,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780414637344,11.339167,1788966319387110830,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780434631200,11.359161,1788966319407110747,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780454631936,11.379162,1788966319427110941,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780474637088,11.399167,1788966319447111328,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780494504064,11.419034,1788966319467110548,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780514599968,11.43913,1788966319487110385,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780534662880,11.459192,1788966319507110322,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780554602592,11.479132,1788966319527114315,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780574603840,11.499133,1788966319547111218,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780594618368,11.519148,1788966319567111582,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780614650912,11.539181,1788966319587124567,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780634612256,11.559142,1788966319607111437,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780654630304,11.57916,1788966319627111198,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780674617792,11.599147,1788966319647111879,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780694527744,11.619057,1788966319667110602,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780714619104,11.639149,1788966319687110715,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780734607552,11.659137,1788966319707110602,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780754616032,11.679146,1788966319727110454,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780774676384,11.699206,1788966319747124939,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780794629504,11.719159,1788966319767110646,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780814621024,11.739151,1788966319787110748,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780834602400,11.759132,1788966319807110584,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780854596160,11.779126,1788966319827110670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780874655904,11.799186,1788966319847110867,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780894473984,11.819004,1788966319867111013,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780914584224,11.839114,1788966319887110489,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780934615520,11.859145,1788966319907110816,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780954607680,11.879137,1788966319927110965,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780974591808,11.899121,1788966319947111081,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4780994631648,11.919161,1788966319967111134,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781014618016,11.939148,1788966319987110455,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781034621088,11.959151,1788966320007110963,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781054592736,11.979122,1788966320027110561,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781074587392,11.999117,1788966320047110518,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781094521120,12.019051,1788966320067110643,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781114598464,12.039128,1788966320087110683,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781134578464,12.059108,1788966320107110675,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781154562592,12.079092,1788966320127110381,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781174656800,12.099186,1788966320147111319,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781194603072,12.119133,1788966320167110895,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781214611968,12.139142,1788966320187110738,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781234599200,12.159129,1788966320207110926,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781254717056,12.179247,1788966320227113734,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781274609376,12.199139,1788966320247113472,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781294475488,12.219005,1788966320267110825,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781314574688,12.239104,1788966320287110716,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781334603616,12.259133,1788966320307110812,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781354588256,12.279118,1788966320327110439,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781374572768,12.299102,1788966320347111174,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781394622272,12.319152,1788966320367111239,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781414576800,12.339106,1788966320387110980,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781434587264,12.359117,1788966320407110599,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781454600448,12.37913,1788966320427111014,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781474573024,12.399103,1788966320447110751,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781494530336,12.41906,1788966320467125593,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781514625888,12.439155,1788966320487110830,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781534578560,12.459108,1788966320507110686,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781554549824,12.479079,1788966320527111111,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781574579360,12.499109,1788966320547110940,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781594648256,12.519178,1788966320567114375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781614565472,12.539095,1788966320587110776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781634582752,12.559112,1788966320607110823,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781654565440,12.579095,1788966320627124469,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781674597088,12.599127,1788966320647111735,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781694485728,12.619015,1788966320667111502,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781714547072,12.639077,1788966320687110791,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781734579808,12.659109,1788966320707110667,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781754565184,12.679095,1788966320727110643,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4781774557088,12.699087,1788966320747110915,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
