t_recv_ns,t_s,t_stamp_ns,frame_id,hardware_connected,analog_states_0,analog_states_1,analog_states_2,analog_states_3,analog_states_4,analog_states_5,digital_states_0,digital_states_1,digital_states_2,digital_states_3,digital_states_4,digital_states_5,digital_states_6,digital_states_7,digital_states_8,digital_states_9,digital_states_10,digital_states_11
3541213560672,23.298904,1788965080127110525,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541233541216,23.318884,1788965080147111850,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541253648800,23.338992,1788965080167111253,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541273560032,23.358903,1788965080187110948,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541293566016,23.378909,1788965080207110850,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541313578432,23.398922,1788965080227110527,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541333538304,23.418882,1788965080247110563,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541353411328,23.438755,1788965080267110813,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541373513088,23.458856,1788965080287110836,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541393555680,23.478899,1788965080307111106,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541413542016,23.498885,1788965080327110654,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541433517344,23.518861,1788965080347110599,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541453671712,23.539015,1788965080367111195,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541473531456,23.558875,1788965080387110563,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541493521760,23.578865,1788965080407110764,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541513635648,23.598979,1788965080427110416,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541533518880,23.618862,1788965080447110826,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541553543424,23.638887,1788965080467124862,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541573524704,23.658868,1788965080487111053,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3541593523968,23.678867,1788965080507111008,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
