t_recv_ns,t_s,t_stamp_ns,frame_id,position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,position_11,position_12,position_13,position_14,position_15,position_16,position_17,position_18,position_19,position_20,position_21,position_22,position_23,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9,torque_10,torque_11,torque_12,torque_13,torque_14,torque_15,torque_16,torque_17,torque_18,torque_19,torque_20,torque_21,torque_22,torque_23,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,velocity_7,velocity_8,velocity_9,velocity_10,velocity_11,velocity_12,velocity_13,velocity_14,velocity_15,velocity_16,velocity_17,velocity_18,velocity_19,velocity_20,velocity_21,velocity_22,velocity_23
3634695319040,14.515242,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.12607765,0.60521126,-1.0759516,0.23785019,2.0464258,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,-0.0045776367,-0.01373291,-0.00026697575,0.0070291339,-0.022888184,-0.0045776367,0.01373291,-0.0045776367,0.01427008,-2.9099999e-07,-0.022888184,-4.8477783,0.45318604,-0.83770752,-0.12359619,0.26092529,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,-0.0045776367,-0.0020599365,0.00068664551,-0.0020599365,-0.00068664551,-0.0020423116,-0.00097190851,0.0020599365,-0.00068664551,-0.00068664551,-0.00068664551,-0.00088108153,-0.00085710911,-0.00068664551,2.0757599,-0.55550385,-6.8274193,3.4380875,1.7997246,0.0020599365,0.0034332275,0.0020599365,-0.0048065186,0.00068664551,-0.00068664551
3634697332480,14.517256,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.13027382,0.60406685,-1.090066,0.24471664,2.0502405,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,0.00045901138,0.0068626046,0.0045776367,-5.1590881,0.27923584,-0.73699951,-0.16021729,0.48980713,-0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.00068664551,-0.00068664551,0.0020599365,0.0020599365,1.7513437e-05,0.00089500401,0.0020599365,0.00068664551,-0.00068664551,0.00068664551,0.00088115625,0.0045212682,0.00068664551,2.143055,-0.55275726,-6.8054466,3.4298477,1.7530327,-0.0020599365,-0.0020599365,0.0020599365,-0.00068664551,0.0020599365,0.0020599365
3634699305088,14.519228,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.13485146,0.60292244,-1.1037998,0.2515831,2.0536737,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,-0.0045776367,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.01373291,-0.0045776367,-0.00045901138,-0.0068626046,0.0045776367,-5.0583801,0.30670166,-0.82855225,-0.24261475,0.28839111,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.00068664551,-0.00068664551,0.0048065186,0.00068664551,-0.00050619953,-1.9226124e-05,0.0020599365,0.00068664551,0.0020599365,0.00068664551,0.00044056878,0.0018026142,-0.00068664551,2.1842537,-0.56786346,-6.8315392,3.3996353,1.7159538,-0.0034332275,0.0020599365,0.00068664551,-0.00068664551,-0.00068664551,-0.0020599365
3634701244576,14.521168,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.13904762,0.60177803,-1.1175327,0.25806808,2.0567255,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.01373291,0.0045776367,0.01373291,0.0045776367,0.012428109,-0.00024319321,-0.01373291,-0.0045776367,0.01373291,-0.0045776367,0.01427008,-2.9099999e-07,0.022888184,-4.9667969,0.33416748,-0.79193115,-0.13275146,0.34332275,0.0045776367,-0.0045776367,0.0045776367,-0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,0.00068664551,-0.0048065186,0.0020599365,-0.00040111891,0.005350798,-0.00068664551,-0.00068664551,0.00068664551,-0.00068664551,-0.0013214822,0.0055846347,0.00068664551,2.2487984,-0.61180878,-6.8191795,3.3776627,1.6912346,0.0061798096,0.0020599365,0.0020599365,0.00068664551,-0.00068664551,-0.0061798096
3634703250272,14.523174,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.14362526,0.60063362,-1.1308842,0.26493454,2.0601587,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.022888184,-0.0045776367,0.01427008,-2.9099999e-07,-0.01373291,-4.9667969,-0.12359619,-0.91094971,-0.19683838,0.2243042,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,-0.00068664551,0.00068664551,-0.00068664551,-1.7513437e-05,-0.00089500401,-0.0020599365,-0.00068664551,0.0061798096,-0.0034332275,-0.0022026945,-0.0016847529,0.0034332275,2.2103462,-0.56786346,-6.8081932,3.3186073,1.6637688,0.00068664551,0.00068664551,-0.0048065186,0.0034332275,-0.0020599365,-0.0034332275
3634705217696,14.525141,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.1482029,0.59910774,-1.1446171,0.27141953,2.063592,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.022888184,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.01373291,-0.0045776367,0.00045901138,0.0068626046,-0.0045776367,-4.9667969,0.39825439,-0.72784424,-0.3616333,0.34332275,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,-0.0045776367,-0.0020599365,0.00068664551,-0.0048065186,0.0020599365,-1.7513437e-05,-0.00089500401,0.00068664551,-0.0034332275,-0.00068664551,0.00068664551,0.0026432446,0.0025713273,-0.00068664551,2.2858772,-0.61180878,-6.8493919,3.3350868,1.6156998,-0.00068664551,-0.00068664551,0.0020599365,0.00068664551,0.0020599365,0.0048065186
3634707250528,14.527174,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.15278053,0.59796333,-1.1579695,0.27790451,2.0666437,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.0045776367,-0.01373291,-0.012428109,0.00024319321,0.0045776367,-0.0045776367,-0.0045776367,0.0045776367,0.01427008,-2.9099999e-07,-0.01373291,-4.8935547,-0.2243042,-1.0116882,-0.21514893,0.34332275,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0020599365,-0.00068664551,-0.0020599365,0.00068664551,-0.00092483189,0.0044365678,0.0048065186,0.00068664551,0.00068664551,0.00068664551,-0.00088108153,-0.00085710911,-0.00068664551,2.336689,-0.62142181,-6.7848473,3.2705421,1.5923538,0.0048065186,-0.00068664551,0.00068664551,0.00068664551,-0.00068664551,-0.0020599365
3634709472384,14.529396,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.16231823,0.59567451,-1.1850538,0.29087543,2.0727472,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,-0.0045776367,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.01373291,-0.0045776367,0.00045901138,0.0068626046,-0.01373291,-5.0766907,-0.17852783,-0.76446533,-0.18768311,0.31585693,0.0045776367,-0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0034332275,0.00068664551,0.00068664551,0.0020599365,-1.7513437e-05,-0.00089500401,0.0048065186,-0.0034332275,-0.00068664551,-0.00068664551,0.0017622191,0.0044623376,-0.0048065186,2.4424362,-0.6571312,-6.7917137,3.1922646,1.5195694,-0.0034332275,0.0020599365,0.00068664551,0.0020599365,-0.00068664551,-0.0048065186
3634711244384,14.531168,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.16231823,0.59567451,-1.1850538,0.29087543,2.0727472,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,-0.0045776367,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.01373291,-0.0045776367,0.00045901138,0.0068626046,-0.01373291,-5.0766907,-0.17852783,-0.76446533,-0.18768311,0.31585693,0.0045776367,-0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0034332275,0.00068664551,0.00068664551,0.0020599365,-1.7513437e-05,-0.00089500401,0.0048065186,-0.0034332275,-0.00068664551,-0.00068664551,0.0017622191,0.0044623376,-0.0048065186,2.4424362,-0.6571312,-6.7917137,3.1922646,1.5195694,-0.0034332275,0.0020599365,0.00068664551,0.0020599365,-0.00068664551,-0.0048065186
3634713240320,14.533164,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.16727734,0.59414864,-1.1987867,0.29736042,2.075799,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,0.01373291,0.01373291,-0.01427008,2.9099999e-07,-0.01373291,-4.9942627,-0.20599365,-0.92010498,-0.19683838,0.28839111,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,-0.0045776367,-0.0020599365,0.00068664551,-0.0034332275,-0.00068664551,0.0010999663,0.0045134723,-0.0020599365,0.0020599365,0.00068664551,-0.00068664551,-0.00088111889,-0.0026891887,-0.00068664551,2.4616623,-0.63241196,-6.7656212,3.1647987,1.4838638,-0.00068664551,-0.00068664551,0.0020599365,0.0020599365,0.0048065186,0.00068664551
3634715216032,14.535139,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.17223644,0.59300327,-1.2121382,0.30384541,2.0788507,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.032043457,0.0045776367,-0.0045776367,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,0.0045776367,0.01373291,0.0045776367,0.00045901138,0.0068626046,-0.01373291,-5.2048645,0.0045776367,-0.91094971,-0.19683838,0.2243042,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.00068664551,-0.0020599365,-0.0075531006,0.0020599365,-0.00050619953,-1.9226124e-05,0.0020599365,0.00068664551,-0.0034332275,-0.0020599365,5.6040518e-08,0.0027481193,-0.0048065186,2.5083542,-0.68185043,-6.7312889,3.1400795,1.4344254,0.0034332275,-0.0020599365,0.0048065186,0.0048065186,0.0020599365,0.0020599365
3634717247200,14.537171,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.17757702,0.59147739,-1.2254906,0.30994892,2.081521,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.01373291,0.0045776367,-0.00026697575,0.0070291339,-0.0045776367,-0.0045776367,0.022888184,-0.0045776367,0.00045901138,0.0068626046,-0.032043457,-4.9484863,-0.19683838,-1.103241,-0.19683838,0.3616333,0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,0.00068664551,-0.0034332275,0.0034332275,-0.00068664551,0.0015536255,0.0018476864,0.00068664551,0.00068664551,-0.00068664551,0.0020599365,0.00044056878,0.0018026142,0.00068664551,2.5742722,-0.69146347,-6.7189293,3.0906372,1.404213,-0.0020599365,-0.0048065186,0.0020599365,0.0020599365,0.0034332275,-0.0020599365
3634719233888,14.539157,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.18253613,0.59033298,-1.2392235,0.31605244,2.0841913,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,-0.0045776367,-0.0045776367,0.01373291,-0.0045776367,0.012428109,-0.00024319321,0.0045776367,0.0045776367,0.022888184,-0.0045776367,0.00045901138,0.0068626046,-0.01373291,-5.3330383,-0.20599365,-0.85601807,-0.27923584,0.29754639,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.0045776367,-0.0045776367,-0.00068664551,-0.0020599365,-0.0034332275,-0.00068664551,0.00050619953,1.9226124e-05,-0.00068664551,0.00068664551,0.00068664551,0.00068664551,1.8680173e-08,0.00091603978,0.0020599365,2.6388206,-0.69146347,-6.707943,3.0466919,1.3822403,0.00068664551,0.0020599365,0.0048065186,0.00068664551,-0.0020599365,-0.00068664551
3634721232480,14.541156,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.1878767,0.58880711,-1.2521935,0.32215595,2.0868616,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.0045776367,-0.0045776367,0.0045776367,0.0045776367,-0.00026697575,0.0070291339,-0.0045776367,-0.0045776367,0.01373291,-0.0045776367,0.01427008,-2.9099999e-07,-0.01373291,-5.1133118,-0.077819824,-0.92926025,-0.2243042,0.27008057,-0.0045776367,0.0045776367,0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.0020599365,-0.00068664551,0.0020599365,0.0020599365,0.0010999663,0.0045134723,-0.00068664551,-0.00068664551,0.00068664551,-0.0020599365,0.0026432446,0.0025713273,-0.00068664551,2.6539268,-0.72442245,-6.7148094,3.0054932,1.3314247,-0.00068664551,0.0020599365,0.0034332275,0.0020599365,0.0048065186,-0.0020599365
3634723236928,14.54316,0,,-0.10128212,-0.25616074,0.2351799,0.029182434,-0.16576484,0.068736356,0.041390419,-0.25806808,0.789464,-0.27752304,0.20554385,0.28204047,0.0207901,0.19321728,0.58728123,-1.2659264,0.327878,2.0895319,0.36869621,-0.25616074,-0.16117382,-0.38052177,-1.744297,0.061989784,0.0045776367,-0.0045776367,-0.0045776367,0.0045776367,-0.00026697575,0.0070291339,0.0045776367,-0.0045776367,-0.0045776367,0.0045776367,0.00045901138,0.0068626046,-0.01373291,-4.8752441,0.0045776367,-1.0208435,-0.24261475,0.39825439,0.0045776367,0.0045776367,-0.0045776367,0.0045776367,0.0045776367,-0.0045776367,-0.00068664551,0.00068664551,-0.00068664551,0.0020599365,-0.00092483189,0.0044365678,0.0020599365,0.00068664551,-0.00068664551,-0.0020599365,-0.00044053142,2.9465334e-05,-0.0020599365,2.6662865,-0.7477684,-6.6859703,2.9752808,1.2874794,-0.0020599365,-0.0048065186,-0.00068664551,-0.00068664551,-0.00068664551,-0.00068664551
